pchId,groupId,name,rarity,category,like,imgPath,imgUrl
SL5-01,5-27,はなのプリパリルージュトップス,PR,トップス,850,./imgs/SL5-01.jpg,https://prichan.jp/resources/images/items/details/70615.jpg
SL5-02,5-27,はなのプリパリルージュパンツ,PR,ボトムス,800,./imgs/SL5-02.jpg,https://prichan.jp/resources/images/items/details/70616.jpg
SL5-03,5-27,はなのプリパリルージュシューズ,PR,シューズ,750,./imgs/SL5-03.jpg,https://prichan.jp/resources/images/items/details/70617.jpg
SL5-04,5-27,はなのプリパリルージュヘアアクセ,PR,ヘアアクセ,750,./imgs/SL5-04.jpg,https://prichan.jp/resources/images/items/details/70618.jpg
SL5-05,5-28,キューティーキャッツピンクトップス,PR,トップス,750,./imgs/SL5-05.jpg,https://prichan.jp/resources/images/items/details/70626.jpg
SL5-06,5-28,キューティーキャッツピンクパンツ,PR,ボトムス,850,./imgs/SL5-06.jpg,https://prichan.jp/resources/images/items/details/70627.jpg
SL5-07,5-28,キューティーキャッツピンクシューズ,PR,シューズ,800,./imgs/SL5-07.jpg,https://prichan.jp/resources/images/items/details/70628.jpg
SL5-08,5-28,キューティーキャッツピンクヘアアクセ,PR,ヘアアクセ,750,./imgs/SL5-08.jpg,https://prichan.jp/resources/images/items/details/70629.jpg
SL5-09,5-29,ぶとうかいシネマワンピ,SR,ワンピース,1200,./imgs/SL5-09.jpg,https://prichan.jp/resources/images/items/details/70619.jpg
SL5-10,5-29,ぶとうかいシネマシューズ,SR,シューズ,600,./imgs/SL5-10.jpg,https://prichan.jp/resources/images/items/details/70620.jpg
SL5-11,5-29,ぶとうかいシネマヘアアクセ,SR,ヘアアクセ,600,./imgs/SL5-11.jpg,https://prichan.jp/resources/images/items/details/70621.jpg
SL5-12,5-30,ロックスタイルレディトップスS,SR,トップス,700,./imgs/SL5-12.jpg,https://prichan.jp/resources/images/items/details/70622.jpg
SL5-13,5-30,ロックスタイルレディパンツS,SR,ボトムス,650,./imgs/SL5-13.jpg,https://prichan.jp/resources/images/items/details/70623.jpg
SL5-14,5-30,ロックスタイルレディブーツS,SR,シューズ,600,./imgs/SL5-14.jpg,https://prichan.jp/resources/images/items/details/70624.jpg
SL5-15,5-30,ロックスタイルヘアアクセS,SR,ヘアアクセ,600,./imgs/SL5-15.jpg,https://prichan.jp/resources/images/items/details/70625.jpg
SL5-16,5-31,ゴージャスパールドレス,SR,ワンピース,1200,./imgs/SL5-16.jpg,https://prichan.jp/resources/images/items/details/70630.jpg
SL5-17,5-31,ゴージャスパールシューズ,SR,シューズ,600,./imgs/SL5-17.jpg,https://prichan.jp/resources/images/items/details/70631.jpg
SL5-18,5-31,ゴージャスパールヘアアクセ,SR,ヘアアクセ,600,./imgs/SL5-18.jpg,https://prichan.jp/resources/images/items/details/70632.jpg
SL5-19,5-32,チャイナロックワンピ,R,ワンピース,900,./imgs/SL5-19.jpg,https://prichan.jp/resources/images/items/details/70633.jpg
SL5-20,5-32,チャイナロックブーツ,R,シューズ,450,./imgs/SL5-20.jpg,https://prichan.jp/resources/images/items/details/70634.jpg
SL5-21,5-32,チャイナロックヘアアクセ,R,ヘアアクセ,450,./imgs/SL5-21.jpg,https://prichan.jp/resources/images/items/details/70635.jpg
SL5-22,5-33,ブリティッシュロックレッドグリーントップス,R,トップス,450,./imgs/SL5-22.jpg,https://prichan.jp/resources/images/items/details/70636.jpg
SL5-23,5-33,ブリティッシュロックレッドグリーンスカート,R,ボトムス,550,./imgs/SL5-23.jpg,https://prichan.jp/resources/images/items/details/70637.jpg
SL5-24,5-33,ブリティッシュロックレッドグリーンシューズ,R,シューズ,500,./imgs/SL5-24.jpg,https://prichan.jp/resources/images/items/details/70638.jpg
SL5-25,5-33,ブリティッシュロックレッドグリーンヘアアクセ,R,ヘアアクセ,450,./imgs/SL5-25.jpg,https://prichan.jp/resources/images/items/details/70639.jpg
SL5-26,5-34,ひょうがらデニムトップス,R,トップス,550,./imgs/SL5-26.jpg,https://prichan.jp/resources/images/items/details/70640.jpg
SL5-27,5-34,ひょうがらデニムスカート,R,ボトムス,500,./imgs/SL5-27.jpg,https://prichan.jp/resources/images/items/details/70641.jpg
SL5-28,5-34,ひょうがらデニムシューズ,R,シューズ,450,./imgs/SL5-28.jpg,https://prichan.jp/resources/images/items/details/70642.jpg
SL5-29,5-34,ひょうがらデニムヘアアクセ,R,ヘアアクセ,450,./imgs/SL5-29.jpg,https://prichan.jp/resources/images/items/details/70643.jpg
SL5-30,5-35,メリーゴーランドフラワートップス,R,トップス,500,./imgs/SL5-30.jpg,https://prichan.jp/resources/images/items/details/70644.jpg
SL5-31,5-35,メリーゴーランドフラワースカート,R,ボトムス,450,./imgs/SL5-31.jpg,https://prichan.jp/resources/images/items/details/70645.jpg
SL5-32,5-35,メリーゴーランドフラワーシューズ,R,シューズ,550,./imgs/SL5-32.jpg,https://prichan.jp/resources/images/items/details/70646.jpg
SL5-33,5-35,メリーゴーランドフラワーヘアアクセ,R,ヘアアクセ,450,./imgs/SL5-33.jpg,https://prichan.jp/resources/images/items/details/70647.jpg
