pchId,groupId,name,rarity,category,like,imgPath,imgUrl
PCH6-84,6-22,ピュアプリンセスホワイティキラッとワンピ,KR,ワンピース,1900,./imgs/PCH6-84.jpg,https://prichan.jp/resources/images/items/details/70804.jpg
PCH6-85,6-22,ピュアプリンセスホワイティキラッとシューズ,KR,シューズ,1000,./imgs/PCH6-85.jpg,https://prichan.jp/resources/images/items/details/70805.jpg
PCH6-86,6-22,ピュアプリンセスホワイティキラッとヘアアクセ,KR,ヘアアクセ,900,./imgs/PCH6-86.jpg,https://prichan.jp/resources/images/items/details/70806.jpg
PCH6-87,6-23,ピュアプリンセスクリムゾンキラッとワンピ,KR,ワンピース,1900,./imgs/PCH6-87.jpg,https://prichan.jp/resources/images/items/details/70807.jpg
PCH6-88,6-23,ピュアプリンセスクリムゾンキラッとシューズ,KR,シューズ,1000,./imgs/PCH6-88.jpg,https://prichan.jp/resources/images/items/details/70808.jpg
PCH6-89,6-23,ピュアプリンセスクリムゾンキラッとヘアアクセ,KR,ヘアアクセ,900,./imgs/PCH6-89.jpg,https://prichan.jp/resources/images/items/details/70809.jpg
PCH6-90,6-24,もこもこモンスターパープルトップス,PR,トップス,850,./imgs/PCH6-90.jpg,https://prichan.jp/resources/images/items/details/70810.jpg
PCH6-91,6-24,もこもこモンスターパープルスカート,PR,ボトムス,800,./imgs/PCH6-91.jpg,https://prichan.jp/resources/images/items/details/70811.jpg
PCH6-92,6-24,もこもこモンスターパープルシューズ,PR,シューズ,750,./imgs/PCH6-92.jpg,https://prichan.jp/resources/images/items/details/70812.jpg
PCH6-93,6-24,もこもこモンスターパープルヘアアクセ,PR,ヘアアクセ,750,./imgs/PCH6-93.jpg,https://prichan.jp/resources/images/items/details/70813.jpg
PCH6-94,6-25,もこもこモンスターピンクトップス,PR,トップス,800,./imgs/PCH6-94.jpg,https://prichan.jp/resources/images/items/details/70814.jpg
PCH6-95,6-25,もこもこモンスターピンクスカート,PR,ボトムス,850,./imgs/PCH6-95.jpg,https://prichan.jp/resources/images/items/details/70815.jpg
PCH6-96,6-25,もこもこモンスターピンクシューズ,PR,シューズ,750,./imgs/PCH6-96.jpg,https://prichan.jp/resources/images/items/details/70816.jpg
