pchId,groupId,name,rarity,category,like,imgPath,imgUrl
SL4-01,PP-01,ラビットハートミントトップス,PR,トップス,850,./imgs/SL4-01.jpg,https://prichan.jp/resources/images/items/details/70463.jpg
SL4-02,PP-01,ラビットハートミントスカート,PR,ボトムス,800,./imgs/SL4-02.jpg,https://prichan.jp/resources/images/items/details/70464.jpg
SL4-03,PP-01,ラビットハートミントシューズ,PR,シューズ,750,./imgs/SL4-03.jpg,https://prichan.jp/resources/images/items/details/70465.jpg
SL4-04,PP-01,ラビットハートミントヘアアクセ,PR,ヘアアクセ,750,./imgs/SL4-04.jpg,https://prichan.jp/resources/images/items/details/70466.jpg
SL4-05,PP-02,ムーンライトパープルトップス,PR,トップス,750,./imgs/SL4-05.jpg,https://prichan.jp/resources/images/items/details/70467.jpg
SL4-06,PP-02,ムーンライトパープルパンツ,PR,ボトムス,850,./imgs/SL4-06.jpg,https://prichan.jp/resources/images/items/details/70468.jpg
SL4-07,PP-02,ムーンライトパープルシューズ,PR,シューズ,800,./imgs/SL4-07.jpg,https://prichan.jp/resources/images/items/details/70469.jpg
SL4-08,PP-02,ムーンライトパープルヘアアクセ,PR,ヘアアクセ,750,./imgs/SL4-08.jpg,https://prichan.jp/resources/images/items/details/70470.jpg
SL4-09,PP-03,あおぞらマーチトップス,SR,トップス,650,./imgs/SL4-09.jpg,https://prichan.jp/resources/images/items/details/70471.jpg
SL4-10,PP-03,あおぞらマーチスカート,SR,ボトムス,700,./imgs/SL4-10.jpg,https://prichan.jp/resources/images/items/details/70472.jpg
SL4-11,PP-03,あおぞらマーチシューズ,SR,シューズ,600,./imgs/SL4-11.jpg,https://prichan.jp/resources/images/items/details/70473.jpg
SL4-12,PP-03,あおぞらマーチヘアアクセ,SR,ヘアアクセ,600,./imgs/SL4-12.jpg,https://prichan.jp/resources/images/items/details/70474.jpg
SL4-13,PP-04,バニーマジシャンロイヤルワンピ,SR,ワンピース,1200,./imgs/SL4-13.jpg,https://prichan.jp/resources/images/items/details/70475.jpg
SL4-14,PP-04,バニーマジシャンロイヤルシューズ,SR,シューズ,600,./imgs/SL4-14.jpg,https://prichan.jp/resources/images/items/details/70476.jpg
SL4-15,PP-04,ホワイトバニーヘアアクセ,SR,ヘアアクセ,600,./imgs/SL4-15.jpg,https://prichan.jp/resources/images/items/details/70477.jpg
SL4-16,PP-05,アイシングクッキーメルヘンワンピ,R,ワンピース,900,./imgs/SL4-16.jpg,https://prichan.jp/resources/images/items/details/70478.jpg
SL4-17,PP-05,アイシングクッキーメルヘンシューズ,R,シューズ,450,./imgs/SL4-17.jpg,https://prichan.jp/resources/images/items/details/70479.jpg
SL4-18,PP-05,アイシングクッキーヘアアクセ,R,ヘアアクセ,450,./imgs/SL4-18.jpg,https://prichan.jp/resources/images/items/details/70480.jpg
SL4-19,PP-06,プリパラナースほほえみのトップス,R,トップス,550,./imgs/SL4-19.jpg,https://prichan.jp/resources/images/items/details/70481.jpg
SL4-20,PP-06,プリパラナースほほえみのスカート,R,ボトムス,500,./imgs/SL4-20.jpg,https://prichan.jp/resources/images/items/details/70482.jpg
SL4-21,PP-06,プリパラナースほほえみのシューズ,R,シューズ,450,./imgs/SL4-21.jpg,https://prichan.jp/resources/images/items/details/70483.jpg
SL4-22,PP-06,プリパラナースほほえみのヘアアクセ,R,ヘアアクセ,450,./imgs/SL4-22.jpg,https://prichan.jp/resources/images/items/details/70484.jpg
SL4-23,PP-07,チアガールシャイントップス,R,トップス,500,./imgs/SL4-23.jpg,https://prichan.jp/resources/images/items/details/70496.jpg
SL4-24,PP-07,チアガールシャインスカート,R,ボトムス,550,./imgs/SL4-24.jpg,https://prichan.jp/resources/images/items/details/70497.jpg
SL4-25,PP-07,チアガールシャインシューズ,R,シューズ,450,./imgs/SL4-25.jpg,https://prichan.jp/resources/images/items/details/70498.jpg
SL4-26,PP-07,チアガールシャインヘアアクセ,R,ヘアアクセ,450,./imgs/SL4-26.jpg,https://prichan.jp/resources/images/items/details/70499.jpg
SL4-27,PP-08,せいしゅんスクールれもんいろトップス,R,トップス,550,./imgs/SL4-27.jpg,https://prichan.jp/resources/images/items/details/70488.jpg
SL4-28,PP-08,せいしゅんスクールれもんいろスカート,R,ボトムス,450,./imgs/SL4-28.jpg,https://prichan.jp/resources/images/items/details/70489.jpg
SL4-29,PP-08,せいしゅんスクールれもんいろシューズ,R,シューズ,500,./imgs/SL4-29.jpg,https://prichan.jp/resources/images/items/details/70490.jpg
SL4-30,PP-08,せいしゅんスクールれもんいろヘアアクセ,R,ヘアアクセ,450,./imgs/SL4-30.jpg,https://prichan.jp/resources/images/items/details/70491.jpg
SL4-31,PP-09,プリパラポリスレッツイゴートップス,R,トップス,550,./imgs/SL4-31.jpg,https://prichan.jp/resources/images/items/details/70492.jpg
SL4-32,PP-09,プリパラポリスレッツイゴーパンツ,R,ボトムス,500,./imgs/SL4-32.jpg,https://prichan.jp/resources/images/items/details/70493.jpg
SL4-33,PP-09,プリパラポリスレッツイゴーシューズ,R,シューズ,450,./imgs/SL4-33.jpg,https://prichan.jp/resources/images/items/details/70494.jpg
SL4-34,PP-09,プリパラポリスレッツイゴーヘアアクセ,R,ヘアアクセ,450,./imgs/SL4-34.jpg,https://prichan.jp/resources/images/items/details/70495.jpg
